case_id,status,category,question_type,user_question,expected_behavior,expected_key_points,required_source,source_location,forbidden_claims
V2-001,confirmed,硬件规格,spec_fact,"E3800 的防病毒吞吐、网络吞吐、CPU、内存和磁盘是多少？",answer,"3.5G；15G；12核24线程；64G DDR4；4TB","AE硬件型号规格","AE 硬件规格/E3800 行","不得混用其他型号或把网络吞吐写成防病毒吞吐"
V2-002,confirmed,硬件规格,comparison,"对比 T20000、T80000、T90000 的吞吐和内存。",answer,"T20000 6G/20G/64GB；T80000 10G/30G/128GB；T90000 20G/40G/256GB","AE硬件型号规格","AE 硬件规格/T20000、T80000、T90000 行","不得遗漏比较维度"
V2-003,confirmed,硬件规格,spec_fact,"G1280D 是国产化设备吗？它的 CPU、内存和磁盘是什么？",answer,"是；海光 C86 3350，8核16线程；32GB；4TB","AE硬件型号规格","AE 硬件规格/G1280D 行","不得写成非国产化"
V2-004,confirmed,硬件规格,filtered_list,"规格表中国产化型号有哪些？",answer,"G680、G1280D、G6800、G40000；G680备注为需联系PMM临时上架","AE硬件型号规格","AE 硬件规格/型号与备注列","不得混入 EOS 或非国产型号"
V2-005,confirmed,硬件规格,filtered_list,"哪些非 EOS 型号的防病毒吞吐达到10G以上？",answer,"T80000 10G、T90000 20G","AE硬件型号规格","AE 硬件规格/非 EOS 型号","不得混入 EOS 型号"
V2-006,confirmed,网卡选型,filtered_list,"G6800 可选哪些光卡和电卡？",answer,"支持光润通 2/4口千兆或万兆光卡、2口40G光卡，以及2口/4口电卡；需区分Bypass卡与普通卡","AE硬件型号规格","外插网卡信息/G6800 区域","不得把普通卡说成Bypass卡"
V2-007,confirmed,版本路径,upgrade_path,"7.0.0.1 的 2233 ISO 后面如何升级到 2800？",answer,"2233(ISO)→2273(约2273-2282)→2360(约2360-2370)→2600(约2600-2640)→2700→2720→2750→2800","AE各版本补丁下载链接","主线版本/升级路线2","不得跳过依赖路径"
V2-008,confirmed,版本路径,upgrade_path,"7.0.0.2 的推荐升级路径是什么？",answer,"2360(ISO)→2600(约2640)→2700→2720→2750→2800","AE各版本补丁下载链接","主线版本/升级路径1","不得把国产化路径混用"
V2-009,confirmed,版本路径,upgrade_path,"G1280D、G6800、G40000 的国产化升级路径是什么？",answer,"7.0.3.2.3274(ISO)→3285→3290→7.0.3.3.3400(约3420)→3450→3455→3480→3490→3510","AE各版本补丁下载链接","国产化版本/G1280D-G6800-G40000路径","不得遗漏 3274 ISO 或 3490"
V2-010,confirmed,版本路径,version_fact,"所有型号是否可以从 7.0.3.3.3500 ISO 升到 3510？",answer,"文档明确给出所有型号：7.0.3.3.3500(ISO)→3510","AE各版本补丁下载链接","国产化版本/或者","不得扩展为任意版本均可直升"
V2-011,confirmed,故障诊断,case_fact,"台山核电 G680 访问卡顿的根因是什么？",answer,"操作系统可用内存不足；大量 swap 导致磁盘高IO；dpid 与系统收发包异常并触发 CPU 空转；bypass 控制程序申请不到内存导致接口震荡","台山核电G680访问卡顿定位报告","故障概述、排查结论","不得归因于单纯CPU性能不足"
V2-012,confirmed,故障诊断,remediation,"台山核电 G680 卡顿建议如何处理？",answer,"升级3490版本以获得内存管理优化，并建议增加物理内存降低长期高负载风险","台山核电G680访问卡顿定位报告","处理办法","不得声称升级后绝对不会再故障"
V2-013,confirmed,故障诊断,evidence_chain,"G680 卡顿排查中 zc_queue 大量丢包说明什么？",answer,"zc_queue 队列满，dpid 无法向队列放包，且内核 zcq 位图异常超阈值；需结合可用内存仅56.1M判断","台山核电G680访问卡顿定位报告","排查过程第2-3点","不得把丢包直接断言为链路故障"
V2-014,confirmed,故障诊断,comparison,"金华公安两台设备的 dpid 重启都由内存不足导致吗？",answer,"不是；记录中多次明确内存足够、dpid本身异常重启；另有内存耗尽触发监控重启的时段，需按时间点区分","金华公安设备资源分析","两台设备/dpid重启时间段","不得将所有重启统一归因于内存不足"
V2-015,confirmed,部署,procedure,"首次登录 AE 控制台的默认 IP 和 7.0.0.2 默认密码是什么？",answer,"默认IP为 https://192.168.252.1:8443；7.0.0.2 默认密码为 AISEdge7.0","产品FAQ","1.1 首次登录","不得泄露或臆造其他版本密码"
V2-016,confirmed,部署,compatibility,"AE UI无法显示或无法上传更新包时，浏览器有什么要求？",answer,"Edge 105+、Firefox 78+、Chrome 90+","产品FAQ","1.2 推荐使用浏览器","不得声称支持所有浏览器版本"
V2-017,confirmed,升级故障,troubleshooting,"Patch软件包无效，日志中的 F_product_pre_check 报错通常说明什么？",answer,"补丁依赖的其他补丁包尚未先更新；应阅读 readme 确认依赖并收集基本配置和诊断日志","产品FAQ","2.2 Patch软件包无效","不得只建议重复上传"
V2-018,confirmed,升级故障,remediation,"AE升级前应做哪些准备？",answer,"备份客户配置；确认升级路径和重启注意事项；必要时清缓存、更换浏览器并调大会话超时时间","产品FAQ","2.1 升级注意事项","不得建议跳过配置备份"
V2-019,confirmed,网络故障,troubleshooting,"两个管理口配置同网段 IP 导致控制台无法访问，怎么排查和处理？",answer,"CLI show interface 检查；将其中一个管理口改到不同网段，使用新管理口访问并删除冲突配置、重新配置默认路由","产品FAQ","3.2","不得建议继续保留同网段双管理口"
V2-020,confirmed,网络故障,troubleshooting,"直连网桥管理口能访问，接交换机后不能访问，原因是什么？",answer,"交换机 trunk 带 VLAN tag，而 AE返回流量不带 tag 被交换机丢弃；建议使用单独网口作为管理口","产品FAQ","3.6","不得直接断言设备硬件损坏"
V2-021,confirmed,业务故障,diagnostic_flow,"部署AE后网络不通，推荐的排查顺序是什么？",answer,"先在管理→诊断→数据包捕获确认进出包；再按报文是否到达AE、是否被安全规则阻断、服务器是否回应依次判断；必要时测试dpid或硬件bypass","产品FAQ","4.2 数据不通","不得直接建议永久开启bypass"
V2-022,confirmed,业务故障,version_fix,"UI修改策略后业务和UI都卡顿，哪些版本修复？",answer,"主线7.0.0.2.2600及以上；国产化7.0.3.3.3400","产品FAQ","4.6","不得把修复版本写成2800或3490"
V2-023,confirmed,业务故障,remediation,"大量UDP流量导致视频会议卡顿，如何处理？",answer,"在策略→扫描优化→Bypass协议中放行UDP视频流量","产品FAQ","4.7","不得建议关闭全部安全检测"
V2-024,confirmed,检测故障,version_fix,"公网下载 EICAR 无法拦截，为什么？",answer,"网站会从HTTP自动切换到HTTPS，AE当前不支持HTTPS文件还原；可使用HTTP/FTP/SMB协议测试","产品FAQ","5.1","不得断言引擎完全失效"
V2-025,confirmed,检测故障,troubleshooting,"HTTPS黑白名单不生效时，规则应如何填写？",answer,"匹配只能匹配域名部分，不能带斜杠；例如使用 *www.baidu.com* 而不是 *www.baidu.com/*","产品FAQ","5.5","不得说可以按完整URL路径匹配"
V2-026,confirmed,检测故障,version_fix,"有威胁日志但病毒仍落盘，交换机配置trunk时应升级到什么版本？",answer,"主线升级至7.0.0.2.2620及以上；国产化升级至7.0.3.3.3400及以上","产品FAQ","5.7","不得把日志存在等同于拦截成功"
V2-027,confirmed,进程故障,troubleshooting,"dpid频繁重启可能有哪些原因和处理方向？",answer,"扫描优化触发、IPS特征码损坏、三层HA心跳线问题、dpid coredump；按日志、description.json、coredump和版本分别排查","产品FAQ","6.2","不得只归因于CPU高"
V2-028,confirmed,日志故障,version_fix,"威胁日志只能查到近几天，哪个版本修复了已知问题？",answer,"7.0.0.2 2360~2363存在问题，7.0.0.2_2370及之后修复","产品FAQ","7.1","不得把2360说成修复版本"
V2-029,confirmed,网卡故障,version_fix,"国产化AE升级到3262后重启网卡乱序怎么办？",answer,"3262后不要重启设备；3290及后续版本可规避，已乱序需联系支持手动恢复网卡顺序","产品FAQ","9.6","不得建议在3262上反复重启验证"
V2-030,confirmed,部署,procedure,"部署指南列出的三种部署模式是什么？",answer,"网桥模式、路由模式、监控模式；反向代理作为独立部署场景另有章节","V7.0.0.2.2800部署指南","目录/第三章","不得把反向代理说成第四种基础部署模式"
V2-031,confirmed,部署,procedure,"路由模式部署前需要配置哪些关键网络项？",answer,"接口与子网、策略路由、接口类型、PPPoE（如需）、NAT、缺省静态路由和DNS；按实际拓扑选择","V7.0.0.2.2800部署指南","3.5.2、3.6、3.7","不得脱离拓扑给固定配置"
V2-032,confirmed,高可用,procedure,"路由模式高可用部署包含哪些关键步骤？",answer,"准备环境；AE_A/AE_B设置心跳接口和配置同步；添加VRRP实例及实例组；配置NAT；配置PC并执行主备切换前后测试","V7.0.0.2.2800部署指南","3.9.2","不得遗漏主备切换测试"
V2-033,confirmed,维护,procedure,"如何备份和恢复 AE 配置？",answer,"通过管理维护中的备份/恢复创建备份；可配置自动备份；恢复时选择先前配置并按维护流程执行","V7.0.0.2.2800部署指南","附录A.3.2","不得把备份恢复描述成升级补丁"
V2-034,confirmed,系统行为,multi_turn,"上一轮问G680卡顿根因，下一轮只问‘建议升级哪个版本？’",answer,"继承当前故障上下文，回答3490并说明内存优化依据，引用台山核电报告","台山核电G680访问卡顿定位报告","处理办法","不得切换到主线2800路径"
V2-035,confirmed,系统行为,insufficient_evidence,"资料里没有某型号的兼容性结论时，能否直接回答支持？",insufficient,"说明当前证据不足，要求补充正式兼容性清单或产品文档，不用常识推断","业务规则","证据不足规则","不得把相近型号资料当作目标型号结论"
